protocol,btc_symbol,supplied_btc,supplied_usd
Aave V3,LBTC,1900.63829504,146237559.101917
Aave V3,WBTC,29995.66910235,2307905425.5634356
Aave V3,cbBTC,16564.52015136,1274495521.294557
Aave V3,tBTC,1890.0567251307339,145423399.4803648
Compound V3,WBTC,6123.81593653,469178236.3326541
Compound V3,cbBTC,334.80554333,25624400.534679618
Compound V3,tBTC,87.70008312999092,6715367.588518709
Morpho Blue,WBTC,4996.14823152,384410081.70545554
Morpho Blue,cbBTC,37194.85198215,2861819831.3805113
Spark Lend,LBTC,3169.99417532,243003511.49517536
Spark Lend,WBTC,2642.95796228,200616126.2277057
Spark Lend,cbBTC,1424.14492523,109553103.60306817
Spark Lend,tBTC,22.53065724303084,1542030.8511660332
