protocol,market_label,symbol,supply_usd,borrow_usd,available_usd,utilization,supply_apy,borrow_apy
Aave V3,pool,USDC,1705444020.501624,1906435247.879032,136976250.224358,91.968293,3.605255341614718,4.341289331269177
Aave V3,pool,USDT,1888745582.395474,1916223458.029419,360687744.017614,80.903317,2.726079171762101,3.6289756957900576
Compound V3,pool,USDC,331560465.5565731,298449516.7022476,33110948.854325473,90.01360165219221,3.2834708740223997,4.0489859399184
Compound V3,pool,USDT,198447079.9843148,151012904.22921562,47434175.75509918,76.09731735087846,2.7395034235631996,3.613831275168
Morpho Blue,USDC/WBTC,USDC,437476973.5212693,141548114.09892347,295928859.4223459,32.35555758731646,3.3529345476090557,3.7576861765919998
Morpho Blue,USDC/cbBTC,USDC,273959285.15345126,243527570.37552056,30431714.777930707,88.89188414954245,3.331464723301911,3.7477715262479996
Morpho Blue,USDC/cbBTC (Base),USDC,0.0,0.0,0.0,0.0,4.707688239946959,5.2043791073904
Morpho Blue,USDT/WBTC,USDT,178377511.58271554,59266891.17117968,119110620.41153586,33.22553983700855,2.4625244945194016,3.0572949784607997
Spark Lend,pool,USDC,37089476.955784,33223719.755663,3865757.2001210004,89.57721295253222,4.042890968690033,4.558933895931756
Spark Lend,pool,USDT,526753840.218321,418402241.002749,108351599.215572,79.43031622310261,2.6857493999999407,3.415446832529409
